RankQS,Name,location,size,focus,research,age band,status,ar score,ar rank,er score,er rank,fsr score,fsr rank,cpf score,cpf rank,ifr score,ifr rank,isr score,isr rank,irn score,irn rank,ger score,ger rank,score scaled
1201-1400,Tanta University ,EG,XL,FO,VH,4,A,5,501+,2.3,501+,4,601+,2.1,601+,1.6,601+,3.2,601+,62.1,547,7.3,601+,-
1201-1400,Technical University of Cluj-Napoca,RO,L,SP,VH,5,A,4.5,501+,5,501+,7,601+,3.5,601+,1.4,601+,2.6,601+,31,601+,9.1,601+,-
1201-1400,"The ""Gheorghe Asachi"" Technical University of Iasi",RO,L,SP,VH,4,A,5.3,501+,6,501+,2.6,601+,5.7,601+,,,5.7,601+,23.4,601+,9.6,601+,-
1201-1400,The Hashemite University,JO,L,FC,MD,3,A,6.2,501+,9.9,501+,3.8,601+,3.4,601+,13.1,601+,7.9,601+,26,601+,15.1,601+,-
1201-1400,"The University of Notre Dame, Australia",AU,M,FO,VH,3,B,3,501+,5.5,501+,2.9,601+,7.4,601+,3.2,601+,1.5,601+,18.8,601+,6.5,601+,-
1201-1400,The University of Texas at Arlington,US,XL,CO,VH,5,A,5.7,501+,5.9,501+,4.7,601+,11.8,601+,3.8,601+,15.6,601+,50.4,601+,5.4,601+,-
1201-1400,Toraighyrov University,KZ,M,FO,HI,4,A,5.1,501+,3.7,501+,16,601+,1.3,601+,3.3,601+,3.1,601+,1.8,601+,20,589,-
1201-1400,Transilvania University of Brasov,RO,L,FC,MD,4,A,4.5,501+,3.2,501+,6.6,601+,3.1,601+,2.6,601+,2.2,601+,38.2,601+,9.3,601+,-
1201-1400,Tunghai University,TW,L,CO,HI,4,C,5.4,501+,7.2,501+,5.7,601+,3.9,601+,11.3,601+,15.1,601+,15.4,601+,9,601+,-
1201-1400,Universidad Autónoma de Baja California,MX,XL,CO,HI,4,A,7.6,501+,5.3,501+,4.7,601+,1.5,601+,3.1,601+,3.1,601+,15.3,601+,4.8,601+,-
1201-1400,Universidad Autónoma de Chile,CL,XL,FO,HI,3,B,5.2,501+,2.6,501+,6.3,601+,2.6,601+,6.4,601+,1.3,601+,32.7,601+,4.7,601+,-
1201-1400,Universidad Autónoma de Querétaro (UAQ),MX,L,FC,MD,4,A,4.4,501+,3.4,501+,6.7,601+,2.6,601+,6.5,601+,1.7,601+,7.6,601+,4.4,601+,-
1201-1400,Universidad Autónoma de San Luis de Potosí,MX,XL,FC,MD,4,A,6.2,501+,2.2,501+,6.1,601+,2.5,601+,1.8,601+,1.4,601+,18.6,601+,4.3,601+,-
1201-1400,Universidad Autonoma de Yucatan,MX,L,CO,HI,5,A,4.7,501+,1.6,501+,5.5,601+,2.4,601+,2.5,601+,1.1,601+,12.1,601+,4.9,601+,-
1201-1400,Universidad Autónoma del Estado de Morelos (UAEM),MX,XL,FC,MD,4,A,3.6,501+,2.2,501+,11.4,601+,1.6,601+,4,601+,1,601+,24.4,601+,4.3,601+,-
1201-1400,Universidad Bernardo O'Higgins,CL,M,FO,HI,3,B,3.8,501+,1.4,501+,9.7,601+,2,601+,10.1,601+,2,601+,8.9,601+,6.9,601+,-
1201-1400,Universidad Católica de Colombia ,CO,M,FO,HI,4,B,5.5,501+,8,501+,4.8,601+,1.5,601+,5.8,601+,1.2,601+,,,5.1,601+,-
1201-1400,Universidad Católica de La Santísima Concepción - UCSC,CL,M,FC,MD,3,B,3.5,501+,2.4,501+,9.4,601+,2.5,601+,6.4,601+,1.2,601+,21.2,601+,4.8,601+,-
1201-1400,Universidad Católica del Norte,CL,M,FC,HI,4,B,5,501+,4.1,501+,6.7,601+,5.8,601+,15.1,601+,3.1,601+,33.7,601+,4.5,601+,-
1201-1400,Universidad Central de Chile,CL,L,FO,MD,3,C,4.7,501+,4.9,501+,3.9,601+,1.7,601+,2.2,601+,1.5,601+,11.2,601+,4.2,601+,-
1201-1400,Universidad Central del Ecuador,EC,XL,FC,LO,5,A,9.3,501+,8.8,501+,11.4,601+,1.2,601+,,,,,10.3,601+,24,506,-
1201-1400,Universidad de Caldas,CO,L,FC,MD,4,A,5.5,501+,4.2,501+,2.7,601+,1.7,601+,,,,,7.8,601+,3.9,601+,-
1201-1400,Universidad de Carabobo,VE,L,FC,LO,5,A,4.9,501+,11.1,501+,20,601+,1,601+,,,,,3.8,601+,16.3,601+,-
1201-1400,Universidad de Cartagena,CO,L,FC,HI,5,A,3.9,501+,6.8,501+,3.9,601+,10.3,601+,2.8,601+,1.1,601+,43.7,601+,3.9,601+,-
