RankShangHai,Name,Region,Regional rank,Total score,Alumni,Award,Hici,N&S,PUB,PCP
201-300,University of Nebraska - Lincoln,us,62-82,,17.7,0.0,13.2,12.6,30.0,17.7
201-300,University of Ottawa,ca,8-11,,21.9,0.0,19.7,11.9,42.7,21.9
201-300,University of Porto,pt,1-2,,20.6,0.0,11.4,11.1,44.1,20.6
201-300,University of Rochester,us,62-82,,15.6,5.3,0.0,17.2,33.7,15.6
201-300,University of Sussex,gb,21-25,,23.5,20.3,14.7,12.8,26.4,23.5
201-300,University of Tasmania,au,9-15,,26.9,0.0,19.7,13.2,30.1,26.9
201-300,University of Technology Sydney,au,9-15,,28.2,0.0,25.5,9.1,38.5,28.2
201-300,University of Tennessee - Knoxville,us,62-82,,19.4,0.0,14.7,11.2,36.7,19.4
201-300,University of Tsukuba,jp,6-8,,16.1,17.6,0.0,14.6,34.8,16.1
201-300,University of Turin,it,5-8,,19.9,0.0,14.7,9.8,41.9,19.9
201-300,University of Virginia,us,62-82,,16.7,0.0,11.4,23.4,41.1,16.7
201-300,University of Wollongong,au,9-15,,26.7,0.0,13.2,13.2,32.4,26.7
201-300,University of Wuerzburg,de,10-19,,18.7,0.0,16.1,21.2,31.8,18.7
201-300,Virginia Commonwealth University,us,62-82,,14.0,13.0,11.4,6.6,32.1,14.0
201-300,Virginia Polytechnic Institute and State University,us,62-82,,17.6,0.0,16.1,15.1,37.8,17.6
201-300,Wuhan University of Technology,cn,33-50,,14.0,0.0,21.8,7.4,41.6,14.0
201-300,Yonsei University,kr,3-7,,22.4,0.0,13.2,11.5,53.0,22.4
301-400,Aalborg University,dk,4-5,,16.8,0.0,17.4,5.0,34.6,16.8
301-400,Aalto University,fi,2-3,,14.9,0.0,11.4,13.0,30.0,14.9
301-400,Autonomous University of Barcelona,es,3-7,,22.3,0.0,0.0,10.4,41.8,22.3
301-400,Autonomous University of Madrid,es,3-7,,19.3,0.0,9.3,11.2,35.7,19.3
301-400,Beijing University of Technology,cn,51-68,,15.1,0.0,9.3,7.1,40.9,15.1
301-400,Brandeis University,us,83-99,,24.2,11.3,0.0,14.2,15.0,24.2
301-400,Cairo University,eg,1,,18.3,0.0,0.0,3.2,40.7,18.3
301-400,Charles University in Prague,cz,1,,18.9,0.0,6.6,11.1,41.5,18.9
301-400,China University of Geosciences (Beijing),cn,51-68,,20.5,0.0,13.2,4.8,33.8,20.5
301-400,Colorado State University,us,83-99,,18.8,0.0,13.2,15.3,33.9,18.8
301-400,Complutense University of Madrid,es,3-7,,15.2,0.0,0.0,9.5,42.1,15.2
